Name,PI,Researcher
Van Pham,,1994
Sydnee Caldwell,1594,1680
Christopher Lako,1952,
David A Benson,,"299, 623"
Megha Patnaik,,1057
Daniel T Brown,,1335
Andra Ghent,2977,
Charles Murry,,"880, 1892"
David J Knight,2110,
Stephen J Trejo,1557,
Cathy Y Liu,,657
Jonathan Gruber,,601
Janna E Johnson,864,
Matthew E Pesner,,1743
Alan F Karr,1111,
Melissa C Chiu,331,
Xinyu Zhang,,2371
Andrew M Kindman,,623
Alesha Istvan,1359,
Philip E Weickert,,792
Jean F Ndashimye,,1899
Dimitris Papanikolaou,,1917
Felipe Lobel Araujo Castro,,1632
Winston P Hovekamp,,2309
Jonathan N Kadish,,"1105, 1406"
Sarah M Miller,"1743, 3011",1284
Thomas J Hedin,,2034
Xiang Ding,,"2732, 1832, 1975, 2193, 1179, 1916"
Ralph Bradley,795,
Stephan Goetz,"2083, 3062, 2512, 2966",
Timothy Collins,2717,
Sarah Akyena,,2278
Janet M Currie,,729
Frances Stillman,1809,
Theresa Osypuk,2934,
Amber Fox,1238,
Susan Marquis,255,
Adela Luque,685,333
Chad W Syverson,"277, 276, 1014","365, 1703, 1975"
Anne Hannusch,,1318
Stefan Zeume,,1850
Mufaddal H Baxamusa,2565,2396
Lucas Threinen,1252,
Ishan Ghosh,,"1057, 1670"
Michael Blank,,2590
Jihye Jang,3003,
Vincent Pons,2747,
Wayne Gray,"1191, 91, 423","1473, 1352"
Claudia Macaluso,,"1808, 1819"
Gregor Schubert,,2358
Yonglin Liang,,2732
Lydia Cox,,2229
Joshua W Mitchell,678,"786, 441"
Marai M Hayes,,1971
Le Tang,,2764
Boris Orellana,,2674
Jason Fletcher,"1849, 2338, 898, 1464",1288
Wei Xu,,2338
Kevin Conner,,2497
William C Fannin,,"3059, 2136"
Jianzhang Lin,2988,
Samuel Bondurant,,1364
Samantha Zeller,2702,
Arianna Ornaghi,1719,
Ming zhu Wang,,2296
Kenneth Tester,,2376
Nicolas J Duquette,,1284
Anders T Van Sandt,,"1835, 2120"
Sara Kimberlin,,2510
Alejandra Pilarz,2978,
Melissa P Mcinerney,,1310
Brent Goldfarb,,"848, 845"
Megan Denver,,2829
Eva Labro,1532,
Stephen J Terry,,712
Nathan Chan,,406
Catherine L Connolly,2644,
Octavio M Aguilar,,"1579, 2319"
Yihui Pan,2446,
Jason Chen,,2527
Samuel M Elkin,,163
Devon Meadowcroft,,2083
Sunghun Cho,,1819
Paul Grieco,,"2222, 2081"
Ning Zhang,2582,
Xi Huang,,657
Tunde Cserpes,,1014
Sara Grineski,,2717
Agostina Brinatti,,2104
Noah Hirschl,,2239
Nicholas J Sanders,,2776
Conrad Kosowsky,2679,
Debarshi K Nandy,"1352, 237","1180, 730"
Brad J Hershbein,,556
Nathaniel Baum-Snow,,2403
Kai-Jie Wu,2464,3010
Tanya Bakshi,,"1572, 808"
Andrew B Bernard,,"871, 1179"
Samuel G Young,2389,1684
Gordon H Hanson,,1875
Jonas Mueller-Gastell,,2406
Hao Zhang,,1485
Jocelyn Wikle,,2706
Corey Lang,,406
Abdullah Al Mahmud,,1352
Dean Yang,,1506
Federico Esposito,"2827, 2627",1883
Anton Bobrov,,3069
Marta G Wilson-Barthes,,2556
Jackson J Howell,,1400
Shuqiao Sun,,1284
Maria del rocio Bonet loscertales,,342
Xiaohua Wu,,"1353, 1433"
Yueyuan Ma,2125,
Ciao-Wei Chen,,2339
Sifan Zhou,,"786, 1185"
Kathryn McConnell,,2556
Bryanna Dixon,,2054
Jane A Martin,,1917
Maria D Fitzpatrick,594,
Kartikeya Vira,,1400
Calvin M Tolbert,,2211
Xi Yang,2411,
Sorabh Tomar,,1668
Charles M Tolbert,"2120, 1320",1835
David J Munroe,,729
Christian Dippel,1092,
Leticia Juarez,,1854
Shushanik Hakobyan,,1298
Ethan Schmick,2746,
Dean M Prestegaard,13,
Soo Kyung Woo,,2685
Steven R Holloway,,"501, 44"
Lars N Vilhuber,658,
Huixin Zheng,,1277
Baridhi Malakar,,"2055, 2547, 2181"
John M Fitzgerald,195,
Joy Wang,,1571
MaryJane R Rabier,1814,
Cody B Spence,,"2307, 2357"
Vojislav Maksimovic,,"848, 1354"
Henry Friedman,2127,
Sarah small,2283,2054
Satkartar Kinney,1746,1111
Christine Mulhern,,2759
Gale A Boyd,"2173, 343, 623, 1213, 293","406, 1385, 1667"
Jordi M Bofill,,1811
Olga V Aristova,,1561
Evgeny Burinskiy,2428,
Salvatore Saporito,1310,
Jane Olmstead-Rumsey,,1134
Tatyana V Kuzmenko,,"406, 623"
Michelle C Stanley,,"2414, 2485"
Nathan Wilmers,,2176
Lawrence D Schmidt,1400,"848, 1917"
Nereyda Y Ortiz Osejo,,1994
Craig Carpenter,"1835, 2875, 1215","2885, 2120, 1320"
Brian C Rowe,,100
Sarah Gertler,2874,1684
Sasha - Brodsky,,580
Steven Schmeiser,,514
J Bradford Jensen,"871, 1832",
Jose Carreno-Garcia,2133,
Myriam Quispe-Agnoli,,1215
Charles Varner,2510,
Michael R Betz,1619,
David Schwegman,1959,
Brian A Green,,2407
Kristy Buzard,1988,
Jong Chung,2698,
Conor Walsh,1811,
Ryan Janicki,,1071
Ryun Jung Lee,2485,
Anna B Flynn,,2817
Sanjay K Arora,,1115
Hannah Sheldon,,1473
Justin Plascencia-Maciel,,2717
Jacob T Watson,,"1085, 1208"
Randall P Walsh,,550
Bryan A Stuart,1942,"2548, 2769, 1284, 1854, 2105, 802"
Adrien Auclert,,2109
Michael Topping,,2338
Nathaniel Hendren,,2590
Anthony T Lo sasso,348,
Xinyue Pei,,"2104, 1694"
Joseph W Sakshaug,1326,
Ashley H Hirai,2817,
James O Driver,2316,1467
Cheyenne Lonobile,,2357
Vernon Henderson,189,
David J Tucker,273,
Jeffrey B Liebman,"441, 177",
Beau L Bressler,,"2104, 1582"
Jason Ward,2013,
Sarah Hamersma,2136,
Wei Jiang,,1831
Christopher J Simard,,1504
Sandra Newman,"1881, 2507",
Burkett A Evans,,1134
Nathanael P Rosenheim,,1367
Margaret Hudson,,"501, 44"
Peter D Psathas,,"1988, 3020"
Valeria Zeballos Doubinko,,"1988, 3020"
Kevin A Roberts,,"1667, 2528, 2998"
Colin T Gray,,1616
Samuel T Ledermann,,708
Rebecca Thornton,,2197
Xiao Cen,"2904, 1831",
Alex S Blumenfeld,,2347
Maria Zhu,2985,
David Zeke,,1381
Holden Diethorn,,"1571, 1315, 2119"
Andrew Hess,,2548
John V Winters,,3044
Julia Yates,,1743
Emmanuella Kyei Manu,,2441
Corbett Grainger,2836,
Katherine Waldock,,1212
Pietro Pellerito,3067,
"Channing P Verbeck, Jr.",,926
Matthew Wilson,,1605
William R Schirmer,,"1883, 2527"
Patrick Krueger,1946,
Rolando A Rodriguez,,"1706, 1866"
Randy A Becker,,1191
Linmei Amaya,,1774
Kenneth Troske,2810,"2592, 2262"
Ryan M Gallagher,,"406, 293"
T Kirk K White,"617, 467, 550","1151, 623"
Boyan Han,,1873
Yana A Kucheva,"1712, 884, 3072",1277
Chantel Maguire,,2556
Davin Wang,,1874
Elisa Jacome,,2543
Charis Kubrin,,2534
Michele Carter,,1736
Joseph W Kinsella,,2417
Narayan Sastry,664,"2285, 1706, 2556"
Qi Li,1990,
John C Braxton,,"848, 1917, 2840"
Terra G Mckinnish-Harllee,,"1802, 550"
Mark Greenan,,1515
Rachel Goodell,,"406, 623"
Jesse Bruhn,,2090
Andrew Stokes,3081,
Margaret Dalton,,"1731, 1571, 1352, 1182"
Siena Crivac,,2717
Adarsh Kumar,,2441
Andrew Proctor,,2568
Manasa Gopal,2055,
Felipe Goncalves,,2543
Mythili Vinnakota,,2836
Julie L Hotchkiss,"2278, 1208",2058
Tiffany L Cho,,2501
Benjamin F Jarvis,,792
Michael Lipsitz,,2528
Annemarie Schweinert,2840,
Ishan Nath,1785,
Aner Zhou,,2127
Antonio Falato,,1572
Andrew K Hildreth,"70, 429",
Alexander D Natanson,,2338
Rebecca A Schut,,2811
Deniz Gorgulu,,2548
David Agrawal,2376,
Sandile Hlatshwayo,,1105
Richard Dunn,"1119, 2221",
Kenneth Ahern,,753
Yingyan Zhao,,"1109, 1990"
Tommaso Porzio,,2527
Daria M Pelech,,"686, 623"
Yuriy Gorodnichenko,,286
Kathryn F Anderson,2414,
Katherine R Wagner,,2309
Alena D Clarke,,845
Aaron C Markiewitz,,1605
Clare B Stevens,,2510
Brant J Walker,,2211
Eva Lyubich,2410,"1406, 2211"
Paul R Shafer,,1456
Lorenz Ekerdt,,"3010, 2464"
Joonkyu Choi,,"2095, 845, 2296"
Curtis Hall,2432,
Theodore J Naff,,"1762, 1572"
Wei Gao,,"1353, 761"
Kalee Burns,2058,"2278, 1208"
Jacob B Howard,2157,1257
Candice Y Wallace,,545
Jeffrey E Zabel,596,1875
Daniel L Chen,1099,
Clinton D Chadwick,,342
Johannes F Schmieder,,1803
Melissa Desfor,2896,
Ashvin Gandhi,2358,
Daniel G Sullivan,,410
Megan Bears Augustyn,1392,
Ivan Rudik,,2800
Sandy Wong,1674,
Alaina G Barca,,2403
Hyoung gun Wang,,189
Kassandra M McLean,2699,"1802, 1846"
Zachary Levinson,,864
Sui-Jade Ho,,"1298, 1057, 987"
Naixin Zhu,,2550
Raymon Yue,,2441
Zheng Tian,,"2083, 3062, 2512, 2966"
David G Wiczer,1819,
Tao Li,2768,
Matt A Nelson,,620
Vincent La,,881
Matthew A Zook,545,
Elizabeth Korver-Glenn,2080,
Donna Rothstein,,2525
Jeffrey A Groen,2525,
Ashley Juhl,,2817
Siim Soot,588,
Lena C Edlund,1225,
Ron Shadbegian,,91
Patrick W Farrell,,1515
Prabhava Upadrashta,,"2358, 2185"
Jungkyu Suh,,2185
Gregorio S Caetano,,537
Gordon M Phillips,"848, 1917, 2511",
Sergio Salgado Ibanez,,"2633, 1694, 2306, 2109"
Holger Sieg,,297
Yue Gao,,"1191, 1473, 1352"
Christina M Qiu,,1975
Chelsea Garber,,2498
Joao Vitor Rego Costa,,"1942, 1572, 808"
Kimberley A Geaghan,,907
Yuci Chen,1779,"1633, 1527"
James Wang,,880
Shih-Chuan Lin,,1227
Ernesto F De Lima Amaral,1994,
Alexander J Almeida,,1667
Yiyang Zeng,,1182
Rebecca Lester,2129,
Eugene Chang,,424
Abe X Dunn,,795
Jerome P Reiter,"1385, 560",617
Ruidi Huang,,2762
Dominic Smith,,"870, 1237, 1975, 1276, 1179"
Yeo Jin Kim,,2932
Greer Mellon,2925,
Allison M Nunez,,1315
Thomas Foster,,"1866, 2137, 2357"
Mai Anh Ngo,,662
Christoph Boehm,,"1298, 784, 2439"
Itay Saporta Eksten,,"1694, 1057, 712"
Joshua W Bricker,,1284
James S Fogel,,2176
Dennis Epple,297,
Amanda G Bauer,,1569
Rongqing Han,1665,
Elton Mykerezi,994,
Maria J Perez-Patron,,1557
John N Friedman,,1706
Clara M Zverina,,441
Kevin Connolly,2364,1743
Elisabeta Minca,,"1745, 2517"
Katharina L Klaunig,,792
James D Zahniser-Word,,623
Francine Lafontaine,880,
David Weinstein,1515,
Katariina Mueller-Gastell,,2406
Olivia Edwards,,2459
Sharat Ganapati,"2193, 1518, 1286","1105, 1811, 1406"
Christine Schwartz,,2239
Yash Singh,,2441
Zhangchi Ma,,2406
Tetyana Shvydko,,539
Maysen Yen,,"1522, 2146"
Erling Barth,786,"1571, 1315"
John Bound,802,287
Xinkun Nie,,2510
Michael Brill,,1703
Elizabeth M Johnson,,1774
Colin J Hottman,,"2193, 2407"
Ryan F Barr,,"1571, 2766"
Ling Wu,,1994
Wenjian Xu,,"880, 1686"
Christine (HsiaoWen) Huang,,"618, 598"
Jorge Aguero,,215
Jason DeBacker,2941,
Namsuk Kim,265,
Nathaniel Pinhas,,2592
Russell Hillberry,57,
Stacey H Chen,487,
Samuel Ventura,,1681
Santiago Martinez,,1819
Richard Hornbeck,,272
Brandon L Gipper,,1668
Matias Busso,,535
Patrick Higgins,,1318
Joseph Ferrie,2271,2489
Keith F Finlay,,2947
Seoyeon Moon,,"848, 1873"
Erick R Sager,,2319
Assa Cohen,2370,
Wang Jin,1473,"1191, 1571, 2119, 2396, 1617, 828, 1069"
Britton J Lombardi,,410
Marisol Rodriguez Chatruc,,987
Marvin B Lieberman,,444
Fidan A Kurtulus,3061,1589
Rebecca J Bielamowicz,,1806
Yukako Ono,410,189
Yifang N Guo,,"1213, 623"
Daniel R Carvalho,,848
Mehmet Atalay,,1014
Nancey G Leigh,2711,
James D Omartian,,"2103, 1532, 3075"
Conrad C Miller,"2793, 1338",
Qingli Fan,2776,
Monica C McInerney Wood,,"406, 662, 617, 623, 493, 550"
Alberto Arredondo Chavez,,1605
Eric Hoyt,,3061
Chika Okafor,2802,
Xiao Ren,,1091
Alexander C McLain,,2086
Cody Tuttle,,1737
Bence Bardoczy,,2306
Gerald R Marschke,1315,"786, 2119"
Andrew L Johnson,,1213
Parag Mahajan,"2105, 1506","2104, 880, 1582"
Eric Ohrn,,2528
Chengdai Huang,,1917
Robert McMillan,537,
Tengying Weng,,811
Melissa J Bjelland,,509
Jared Carbone,1901,
Tara Watson,,2192
Jianpeng Deng,,1257
Warren A Brown,,"670, 669, 2136"
Jennifer Candipan,,1360
Bo Zhao,,580
Joseph Persky,,406
Nuri Ersahin,2762,"1958, 1212"
Ari Fleischer,,2157
Ziqi Zhou,,"2827, 2627"
Lee Shaker,2114,
Seungmin Lee,,2913
William Wang,,2441
Aiden C Toner-Rodgers,,2527
Kateryna Holland,"1551, 2968",
Alannah Shute,,2547
Alejandro G Graziano,,987
Cyrus Hester,,2575
Laura A Boisten,,2840
Denise J Duffy,,664
Stephen L Ross,"424, 83, 1481",
Anqi Chen,,2387
Jean M Abraham,"1362, 878",
David C Folch,,1070
Philip O Armour,,"524, 3002"
Sara Patricia Ferreira Moreira,2586,908
Ryan Fraser,,1743
Emilie A Jackson,,2406
Ishuwar Seetharam,1652,1151
Isaac Cohen,2842,
Yanbo Zeng,,2358
Erin Hofmann,2894,
Katherine R Genadek,,2228
Alok Ranjan,,2197
Norman H Nie,390,
James M Flynn,,1846
Elizabeth U Cascio,2493,
Zhiling M Shea,,2040
Lingxin x Hao,2824,
Lara Shore-Sheppard,2192,
Martha H Stinson,,"1664, 2699"
Philip A Luck,1002,"1057, 1670"
Douglas V Almond,1000,
Joel Elvery,,9
Latetia V Moore Freeman,2970,
Louis D Preonas,,1158
Stephen Frimpong,,2194
John Barrios,,2766
Blaine D Byars,,766
Ethan B Sawyer,,2034
Rashmi M Patwardhan,,2487
H. Spencer Banzhaf,,1284
Nisha Chikhale,,1917
Kristen L Burke,,2602
Atul Gupta,2065,
Christopher D Boone,,"3018, 1175"
Soojong Kim,,2114
Omeed Maghzian,2590,
Maria D Tito,,1237
Meredith Fowlie,1158,
Juanita Jaramillo,,1684
Ethan Jenkins,2695,"2769, 3067"
Tara Shochet,,287
Lily M Seitelman,,1803
Yuqing Han,,"2197, 2079"
Samuel M Bailey,,2221
David J Price,,1057
Julian Aramburu,,1787
Tao Shu,,1091
Stephanie H Lo,,1112
Nicholas Nagle,874,1070
Dieu Linh Nguyen,,1213
Anna Belova,,"1191, 91"
Manju Puri,,493
Prateek Puri,,2759
Nathan Goldschlag,,"1731, 1975, 1916"
Elham Erfanian,,2552
Charles Courtemanche,1347,
Reid M Dorsey-Palmateer,,580
Stephanie Straus,,2436
Hsu-Chih Cheng,,2907
Yingjie Wu,,1515
Kenneth A Bollen,,455
Katherine Eriksson,,2523
Mathis Schulte,,342
Jonathan Dirlam,,1549
Joseph Chance,,1875
Rozhan Ghanbari,,2817
Minwoo Hyun,3009,
Nicholas T Ryan,,1990
Angela S Heisey,,2817
Annie E Ro,1748,287
Danielle Sansone-Poe,,2442
Giovanni Peri,,"2104, 1582"
Xuan Su,,1668
Sylwia Piatkowska,2687,
Timothy S Simcoe,269,1874
Andrew J Houtenville,509,
Vladimir Smirnyagin,,2012
Jose Maria Barrero Sanclemente,,"1151, 1652"
Michael G Mueller-Smith,2295,
Raluca Dragusanu,1112,707
Anna Paulson,401,
Colin S Campbell,,792
Pinghui Wu,,"802, 2108"
Chengyuan He,,2685
Anna Gardner,,1806
William H Nober,,2527
William D Bradford,674,
Xiaodong Du,2521,
Savannah U Kochinke,,1803
Evan J Taylor,,1284
Keyoung D Lee,,2501
Alexander Siebert,2697,
Martin Aragoneses,,2590
Justin Frake,,845
Darius J Singpurwalla,,1315
Shantanu Khanna,,"1504, 1522, 2146"
Thu Ha Bui,,2439
Bhashkar Mazumder,"299, 406",1743
Christopher L Watson,,1890
Rachel McKane,,2517
Brendan J Casey,,"1191, 1352"
Rishi Sharma,,784
Nikolas J Zolas,,"1774, 1257, 1975"
Michael R Elliott,,1157
Tao Tao,,"1191, 1352"
Eung H Kim,,662
Rebecca Jack,,"2593, 2476"
Caroline P Danielson,1220,
Sylvia K Kuo,,589
John Anders,,"1888, 1835, 2120"
Sarah Gollust,1456,
Austin McCrea,,1833
Dania V Francis,,1875
Cooper A Howes,,1808
Isaac N Sorkin,,"2406, 2109"
Rebecca B Goldgof,,1703
Lydia L Qin,,2766
Xi He,1680,"1181, 1589"
Jennifer M Paniza,,447
Huan Yang,,1091
Dean Corbae,2981,
Mons Chan,,870
Peng Shao,2837,
Valeska A Araujo,,406
Joel Melendez-Lugo,844,
Madeleine Drost,,1619
Ildiko Magyari,1314,1515
Su Zhang,,1213
David Bleckley,,2239
Kelly Raley,,2602
Juana Sanchez,1153,
Lauren Lambie-Hanson,,3020
Amy Spring,2665,
Youngsuk Yook,1528,
Rosemary M Coskrey,,1808
Matthew A Woerman,,1158
Irma Arteaga,2412,
Jonathan Meer,,2459
Julia Y Wu,,"1883, 2527"
Eric P Baumer,1549,
Allan G Collard-Wexler,"1353, 707, 1433, 422",
Lee R Mobley,796,
Rebecca A Nesbit,,1833
Zhida Gui,,1014
Richard A Wright,,44
Joshua D Gottlieb,1756,
Pinar N Karaca-Mandic,820,1456
Serene Ho,,1485
Ezra Karger,2090,1971
Adam R Saunders,466,828
Henry R Hyatt,,2319
Scott C Loring,,2090
Lisa M Lynch,204,
Jackson R Reimer,,2065
Martin Koenen,,2747
Hyunseob Kim,1572,"2095, 808"
Matt Pecenco,,1105
Benjamin C Seloske,,1583
Lokesh Kalahasthi,,863
Jiameng Zheng,2079,
Hugo A Hopenhayn,1276,
Giulia Olivero,,1178
Tanya L Stasio,,"1191, 1473"
David H Autor,"1181, 1684",
Adam M Guren,,786
Susan Dynarski,601,
Aditya Sunderam,,"2590, 1134"
Andrew J Earle,,1890
Eric Boschmann,,2540
Joanna E Venator,,1849
Daiqiang Zhang,,2763
Lan Lin,,"1105, 1284, 932"
Ngoc-Thoa Khuu,,2357
Daniel J Grodzicki,,"1057, 712"
Lewis S McLean,,2222
Nicolas L Bottan,1753,
Joan Farre-Mensa,719,
Peter K Schott,,"1298, 1883, 1273, 1257, 1179, 871, 1975, 1916"
Yi Cheng,,1000
Chandni Raja,2771,
Donovan A Anderson,937,
Benjamin Austin,,1519
Anirudh Jayanti,,880
Arlene Wong,,848
Qize Chen,,2103
Kayla M Frisoli,,1681
Lucy McMillan,,2108
Miles Finney,2481,
Jonathan Daw,,2951
Kamelia Stavreva,,2476
Benjamin Pyle,,2295
Jacob I Wren,,2473
Renee Louis,,"2510, 2888"
David Arnold,1889,1582
Darryl Cooney,3031,
Roberto L Pedace,530,
Nazli M Toraganli,,"532, 535"
Jonathan Wallen,,1151
Matthew H Shapiro,286,870
Jesse M Gregory,,"664, 535"
Manasi A Deshpande,1736,
Abigail Weitzman,2602,
James D Gaboardi,1866,"1070, 2228"
Richard D Alba,532,2703
Justin V Gilbert,2733,2358
Andrew L Steck,,1213
Shoumitro Chatterjee,,1518
Steven J Monahan,,503
Bidisha Lahiri,,270
Thomas R Leinbach,,545
Jun Xu,,2431
Jessica Bai,2890,
Maxwell Kellogg,1971,
John Williamson,,2970
Sergio M Villalvazo,,2199
Avishai Schiff,"2059, 1497",
John R Graham,808,
Maliheh Birjandi-Feriz,,871
Robert Collinson,,"2403, 2476"
Chenchen Peng,,1975
Filiz Garip,,2167
Yi Daniel D Xu,,"2210, 1109, 2998"
Naomi Hsu,,70
Margaret M Triyana,,447
Richard K Mansfield,1802,"2699, 1846"
Tim Komarek,,2661
Jeffrey Shrader,2112,2851
Yelena Larkin,,760
Philipp Schnabl,,2055
Erica L Moszkowski,,2550
Tal Gross,1125,
Brian P McCall,1666,800
Nathaniel Barlow,2650,2034
Anna M Peterson,,381
Catherine L Gonzalez,,2606
Christopher M Clapp,"1450, 765",
Edward A Rubin,,1105
Amit Khandelwal,,1518
Lea Bart,2680,2548
Theodore Figinski,,2547
Manuel Adelino,,808
Ayush Sinha,,1874
Billy H Huang,,2103
Daniel B Ladd,,2146
James D Bachmeier,,"2307, 2357"
Sofia Avila Jamesson,,2888
Zhiheng Hu,,2280
Varadarajan Chari,2012,
Melissa R Banzhaf,,1284
Karam Jo,,2095
Jeremy A Kirk,2797,
Anthony Papac,2608,
Kristina S Steffenson McElheran,"1069, 828","1571, 1473, 422"
Emin M Dinlersoz,362,
Jeffrey P Clemens,,1756
Christina Patterson,"2347, 1616","1181, 1684"
Ilaria D'Angelis,,1875
Zoltan Wolf,,1237
Abigail M Cooke,,792
Ariadna Jou,,2650
Matthew S Johnson,,1694
Joe Chestnut,2540,
Luyi Han,3044,"2083, 3062, 2512, 2966"
Suvy Qin,,2211
Paul T Scott,926,
Patrick J Conway,270,792
Eunah Jung,,2517
Jiaming Soh,,2439
Jenny Minier,,2552
Andrew Joung,2854,
Patrick Rooney,,1069
Ryan P Monarch,2407,"1298, 784"
Geoffrey Kocks,2961,
Luxi Han,,2214
Aspen Underwood,,2157
Danielle Sobol,3002,
Andrei A Levchenko,1298,"784, 2439"
Seth E Spielman,1070,
Sara Ronnkvist,,2556
Priyanka Parikh,,2129
Xinyi Liu,,1527
Cristian Aguilera Arellano,,1917
Brian Littenberg,,848
Kirsten S Mumma,,2751
Arthur Acolin,,2137
Jingqiu Ren,,"1994, 2234"
Allison Dunatchik,,2811
Lucy Cheskin,,1571
Michael D Steinberger,,813
Clifford A Lipscomb,,1115
Timothy Wojan,2681,"2083, 3062, 2512"
John C Haltiwanger,,"2095, 2296"
Hadrian M Gonzalez Castellanos,,"1667, 2173"
Diana Weng,2686,
William B Allshouse,2442,
Xuan Lin,,"1109, 2210, 2081"
Rebecca A Jorgensen,,881
Leland D Crane,,1237
Katherine T Burrows,,2556
Aria B Drake,,2801
Brittany E Bass,,1522
Laurel E Wheeler,,"1664, 1920"
Alfonso Flores-Lagunes,,2985
Ricardo Rubio,,2717
Adriano A Rampini,,369
Thomas Philippon,2431,
Catherine Talbot,,2575
J. Tom Mueller,2972,
Christopher M Forman,,"2103, 1069"
Mohammad Arzaghi,,"189, 607"
Nicholas Broten,,717
Juliana Quattrochi,,2593
Zhenhao Piao,,2686
Zong Yang Huang,,2109
Tarikua Erda,2851,
Emily Wisniewski,,"1298, 1237, 1703, 2718, 1518"
Matthew Doolin,,"1667, 2173, 1577, 1213"
John Mark Ellis,"501, 44",
Ekaterina Potemkina,,1572
Simcha Barkai,,2090
David Kuenzel,,2827
Lois Miller,2508,
Nicholas R Graff,,2592
Maryann P Feldman,2782,
Nicholas E Powers,,580
Su Young Choi,,1833
Aaron Scholl,,1751
Keenan M Dworak-Fisher,364,
Matthew J Niedzwiecki,,2600
Sara N Gleave,1079,657
Sathasivam Mathiyalakan,,202
Jean-Noel Barrot,,1400
Kyle Kopplin,,1751
Ted D Mouw,"1806, 792",937
Mercedes N Delgado,"1499, 618",1069
Kevin R Krivacsy,,874
Lujie Zhou,,1990
Sreedhar T Bharath,,580
David C Ribar,,195
Mitchell Linegar,,1668
Christine Liu,,1485
Peter Hudomiet,,802
Myron P Gutmann,2575,
Wei Li,1367,
Isaac N McFarlin,800,
Lisa Sanbonmatsu,,177
Rebekah A Dix,,1684
Maxwell Miller,2863,
Elizabeth Fussell,"2285, 1706, 2556",
Jisoo Kim,,"1499, 2176"
Tam T Mai,,1589
Amy B O'Hara,2436,
Merle Ederhof,997,
Shannon M Monnat,1345,
Parmanand Sinha,,1070
Izuchukwu E Mbaraonye,,2656
Jamie Roberman,,1994
Richard M Todd,,994
Christian A Moser,,"1589, 2527"
Huihuang Zhu,,2548
Samuel Kye,,"1745, 2517"
Seth Neller,2272,2603
Minh Joo Yi,,2197
Thomas S Flory,,"906, 2221"
Frank T Gaunt,,1594
Tingting Zhang,,1561
Taige Wang,,"2827, 2627"
Aymeric Bellon,2638,2910
Gregg Colburn,,2137
Lisa De Simone,,2129
Olga Malkova,,"2548, 1284, 869"
Chen Li,,"2396, 1850"
Jin Liu,2764,2210
Patricia P Padilla Lara,,1284
Sarah B Johnston,,"880, 1473"
Elizabeth E Bruch,,287
Michael Abbott,,2674
Andrea Wysocki,2600,
Emily Molfino,,2175
Benjamin Chartock,,2065
Rahul R Gupta,1841,1481
Henry Downes,2862,
Maritsa V Poros,482,
Andrew McCallum,,"1298, 784"
Lien Ta,,1670
Martin Ruef,2334,
Tongyai Iyavarakul,,623
Alison Davis,"2552, 2657",
Silke J Forbes,,1069
Ben Hyman,"1504, 1762, 2473",
Nan Li,,1831
Ruoran Gao,,1850
William Cunningham,,2501
Katharina A Lewellen,730,
Jeremy Lise,,1917
Asaf Bernstein,,1873
Samuel E DeWitt,,2829
Yubo Wei,,1400
Henry Pollakowski,,1875
Evelyn Cody,,2600
Yuehua Tang,,1987
Shanthi Ramnath,2487,
Keren M Horn,"861, 1875",
David Rehkopf,,2934
Mark Duggan,,1632
Lina Yu,2483,
Andreana Able,1681,
Amy B Martin,774,
Joseph Shapiro,,"1956, 595, 1406, 2211"
Daniel S Tan,,1220
Benjamin Iverson,2128,1151
Linda T Bui,"56, 604",
Kishore Gawande,1485,
Eric P Vance,,"3039, 2235"
Joel A Cobb,,716
Byeongdon Oh,2705,
Kristopher Deming,,2120
Ihab Saed,,784
Mahboubeh Ebrahimi,,1352
Nicholas Sly,1774,
Adam A Leive,,1762
Joshua Coval,,819
Edwin A Anyosa Galvez,,1284
William J von Geldern,2882,
Diana Sandoval Siman Pereira,,2167
Elizabeth L Greenwood,,272
Adrian A Haws,,2816
Paulo Lins,3010,
Thomas A DiPrete,,2925
Moises Yi,,"2473, 2835, 1175"
Joseph M Hanna,,2193
Sara Malik,3075,"2484, 1668"
Hongwei Xu,"1745, 2939",2517
Charles Hokayem,,2377
Yucai Wang,,623
Samuel Stern,,1605
Chang-cherng Sun,,"664, 665, 412"
Ngoc Dao,,2338
Robert A Kaya,,2215
Sally L Hudson,,487
Charles B Braymen,,270
Gideon Bornstein,"2606, 2306",
Shawn Martin,2420,
Xi Wu,,2154
Christopher R Bollinger,2592,
Caitlin A McCarthy,,1668
Karen X Ni,,1504
Margaret Isaacson,,2539
Shannon Rieger,2471,
Tomislav Vukina,,811
Jeffrey Wenger,717,
Sean Y Wang,,"1684, 2389"
Daniel Gallego,,"1572, 808"
Elan Segarra,,"1119, 2221, 1464"
Xiangjun M Ma,,649
Ki young Park,,343
Anna Aizer,53,
Yifan Shi,,"2214, 2586"
Murillo Campello,,3003
Sandra Campo,686,
Riley Wilson,2706,
Kirill Borusyak,,"1890, 1255"
Brian Quistorff,,932
Atif R Mian,,381
Austan Goolsbee,447,1703
Gal Wettstein,2387,
Alex J Wellman,,2109
Derek Young,2660,
Daniel H Cooper,,286
Brian W Gould,215,
Robert D Mare,,331
Brian S Chen,1544,1134
David Berger,,"1917, 1134, 908"
Vanessa I Alviarez,,"2104, 1057, 1670, 2109"
Scott H Holan,1071,2307
Jinyoung Lee,,1583
Zhijian Li,,2358
Ellis Scharfenaker,,1935
Scott D Blatte,,1756
